esther

esther 1 1   ויהי בימי אחשורוש הוא אחשורוש המלך מהדו ועד כוש שבע ועשרים ומאה מדינה
esther 8 9   ויקראו ספרי המלך בעת ההיא בחדש השלישי הוא חדש סיון בשלושה ועשרים בו ויכתב ככל אשר צוה מרדכי אל היהודים ואל האחשדרפנים והפחות ושרי המדינות אשר מהדו ועד כוש שבע ועשרים ומאה מדינה מדינה ומדינה ככתבה ועם ועם כלשנו ואל היהודים ככתבם וכלשונם

esther 8 10   ויכתב בשם המלך אחשורש ויחתם בטבעת המלך וישלח ספרים ביד הרצים בסוסים רכבי הרכש האחשתרנים בני הרמכים

esther 8 11   אשר נתן המלך ליהודים אשר בכל עיר ועיר להקהל ולעמד על נפשם להשמיד ולהרג ולאבד את כל חיל עם ומדינה הצרים אתם טף ונשים ושללם לבוז

esther 8 12   ביום אחד בכל מדינות המלך אחשורוש בשלושה עשר לחדש שנים עשר הוא חדש אדר

esther 8 13   פתשגן הכתב להנתן דת בכל מדינה ומדינה גלוי לכל העמים ולהיות היהודיים היהודים עתודים עתידים ליום הזה להנקם מאיביהם

esther 8 14   הרצים רכבי הרכש האחשתרנים יצאו מבהלים ודחופים בדבר המלך והדת נתנה בשושן הבירה

esther 8 15   ומרדכי יצא מלפני המלך בלבוש מלכות תכלת וחור ועטרת זהב גדולה ותכריך בוץ וארגמן והעיר שושן צהלה ושמחה

esther 8 16   ליהודים היתה אורה ושמחה וששן ויקר

esther 8 17   ובכל מדינה ומדינה ובכל עיר ועיר מקום אשר דבר המלך ודתו מגיע שמחה וששון ליהודים משתה ויום טוב ורבים מעמי הארץ מתיהדים כי נפל פחד היהודים עליהם

esther 9 1   ובשנים עשר חדש הוא חדש אדר בשלושה עשר יום בו אשר הגיע דבר המלך ודתו להעשות ביום אשר שברו איבי היהודים לשלוט בהם ונהפוך הוא אשר ישלטו היהודים המה בשנאיהם

esther 9 2   נקהלו היהודים בעריהם בכל מדינות המלך אחשורוש לשלח יד במבקשי רעתם ואיש לא עמד לפניהם כי נפל פחדם על כל העמים

esther 9 3   וכל שרי המדינות והאחשדרפנים והפחות ועשי המלאכה אשר למלך מנשאים את היהודים כי נפל פחד מרדכי עליהם

esther 9 4   כי גדול מרדכי בבית המלך ושמעו הולך בכל המדינות כי האיש מרדכי הולך וגדול

esther 9 5   ויכו היהודים בכל איביהם מכת חרב והרג ואבדן ויעשו בשנאיהם כרצונם

esther 9 6   ובשושן הבירה הרגו היהודים ואבד חמש מאות איש

esther 9 7   ואת פרשנדתא ואת דלפון ואת אספתא

esther 9 8   ואת פורתא ואת אדליא ואת ארידתא

esther 9 9   ואת פרמשתא ואת אריסי ואת ארדי ואת ויזתא

esther 9 10   עשרת בני המן בן המדתא צרר היהודים הרגו ובבזה לא שלחו את ידם

esther 9 11   ביום ההוא בא מספר ה͏הרוגים בשושן הבירה לפני המלך

esther 9 12   ויאמר המלך לאסתר המלכה בשושן הבירה הרגו היהודים ואבד חמש מאות איש ואת עשרת בני המן בשאר מדינות המלך מה עשו ומה שאלתך וינתן לך ומה בקשתך עוד ותעש

esther 9 13   ותאמר אסתר אם על המלך טוב ינתן גם מחר ליהודים אשר בשושן לעשות כדת היום ואת עשרת בני המן יתלו על העץ

esther 9 14   ויאמר המלך להעשות כן ותנתן דת בשושן ואת עשרת בני המן תלו

esther 9 15   ויקהלו היהודיים היהודים אשר בשושן גם ביום ארבעה עשר לחדש אדר וי͏הרגו בשושן שלש מאות איש ובבזה לא שלחו את ידם

esther 9 16   ושאר היהודים אשר במדינות המלך נקהלו ועמד על נפשם ונוח מאיביהם והרג בשנאיהם חמשה ושבעים אלף ובבזה לא שלחו את ידם

esther 9 17   ביום שלשה עשר לחדש אדר ונוח בארבעה עשר בו ועשה אתו יום משתה ושמחה

esther 9 18   והיהודיים והיהודים אשר בשושן נקהלו בשלשה עשר בו ובארבעה עשר בו ונוח בחמשה עשר בו ועשה אתו יום משתה ושמחה

esther 9 19   על כן היהודים הפרוזים הפרזים הישבים בערי הפרזות עשים את יום ארבעה עשר לחדש אדר שמחה ומשתה ויום טוב ומשלוח מנות איש לרעהו

esther 9 20   ויכתב מרדכי את הדברים האלה וישלח ספרים אל כל היהודים אשר בכל מדינות המלך אחשורוש הקרובים והרחוקים

esther 9 21   לקים עליהם להיות עשים את יום ארבעה עשר לחדש אדר ואת יום חמשה עשר בו בכל שנה ושנה

esther 9 22   כימים אשר נחו בהם היהודים מאויביהם והחדש אשר נהפך להם מיגון לשמחה ומאבל ליום טוב לעשות אותם ימי משתה ושמחה ומשלוח מנות איש לרעהו ומתנות לאביונים

esther 9 23   וקבל היהודים את אשר החלו לעשות ואת אשר כתב מרדכי אליהם

esther 9 24   כי המן בן המדתא האגגי צרר כל היהודים חשב על היהודים לאבדם והפיל פור הוא הגורל להמם ולאבדם

esther 9 25   ובבאה לפני המלך אמר עם הספר ישוב מחשבתו הרעה אשר חשב על היהודים על ראשו ותלו אתו ואת בניו על העץ

esther 9 26   על כן קראו לימים האלה פורים על שם הפור על כן על כל דברי האגרת הזאת ומה ראו על ככה ומה הגיע אליהם

esther 9 27   קימו וקבל וקבלו היהודים עליהם ועל זרעם ועל כל הנלוים עליהם ולא יעבור להיות עשים את שני הימים האלה ככתבם וכזמנם בכל שנה ושנה

esther 9 28   והימים האלה נזכרים ונעשים בכל דור ודור משפחה ומשפחה מדינה ומדינה ועיר ועיר וימי הפורים האלה לא יעברו מתוך היהודים וזכרם לא יסוף מזרעם

esther 9 29   ותכתב אסתר המלכה בת אביחיל ומרדכי היהודי את כל תקף לקים את אגרת הפורים הזאת השנית

esther 9 30   וישלח ספרים אל כל היהודים אל שבע ועשרים ומאה מדינה מלכות אחשורוש דברי שלום ואמת

esther 9 31   לקים את ימי הפרים האלה בזמניהם כאשר קים עליהם מרדכי היהודי ואסתר המלכה וכאשר קימו על נפשם ועל זרעם דברי הצמות וזעקתם

esther 9 32   ומאמר אסתר קים דברי הפרים האלה ונכתב בספר

esther 10 1   וישם המלך אחשרש אחשורוש מס על הארץ ואיי הים

esther 10 2   וכל מעשה תקפו וגבורתו ופרשת גדלת מרדכי אשר גדלו המלך הלוא הם כתובים על ספר דברי הימים למלכי מדי ופרס

esther 10 3   כי מרדכי היהודי משנה למלך אחשורוש וגדול ליהודים ורצוי לרב אחיו דרש טוב לעמו ודבר שלום לכל זרעו
