joshua

joshua 1 1   ויהי אחרי מות משה עבד יהוה ויאמר יהוה אל יהושע בן נון משרת משה לאמר
joshua 4 17   ויצו יהושע את הכהנים לאמר עלו מן הירדן

joshua 4 18   ויהי בעלות כעלות הכהנים נשאי ארון ברית יהוה מתוך הירדן נתקו כפות רגלי הכהנים אל החרבה וישבו מי הירדן למקומם וילכו כתמול שלשום על כל גדותיו

joshua 4 19   והעם עלו מן הירדן בעשור לחדש הראשון ויחנו בגלגל בקצה מזרח יריחו

joshua 4 20   ואת שתים עשרה האבנים האלה אשר לקחו מן הירדן הקים יהושע בגלגל

joshua 4 21   ויאמר אל בני ישראל לאמר אשר ישאלון בניכם מחר את אבותם לאמר מה האבנים האלה

joshua 4 22   והודעתם את בניכם לאמר ביבשה עבר ישראל את הירדן הזה

joshua 4 23   אשר הוביש יהוה אלהיכם את מי הירדן מפניכם עד עברכם כאשר עשה יהוה אלהיכם לים סוף אשר הוביש מפנינו עד עברנו

joshua 4 24   למען דעת כל עמי הארץ את יד יהוה כי חזקה היא למען יראתם את יהוה אלהיכם כל הימים

joshua 5 1   ויהי כשמע כל מלכי האמרי אשר בעבר הירדן ימה וכל מלכי הכנעני אשר על הים את אשר הוביש יהוה את מי הירדן מפני בני ישראל עד עברנו עברם וימס לבבם ולא היה בם עוד רוח מפני בני ישראל

joshua 5 2   בעת ההיא אמר יהוה אל יהושע עשה לך חרבות צרים ושוב מל את בני ישראל שנית

joshua 5 3   ויעש לו יהושע חרבות צרים וימל את בני ישראל אל גבעת הערלות

joshua 5 4   וזה הדבר אשר מל יהושע כל העם היצא ממצרים הזכרים כל אנשי המלחמה מתו במדבר בדרך בצאתם ממצרים

joshua 5 5   כי מלים היו כל העם היצאים וכל העם הילדים במדבר בדרך בצאתם ממצרים לא מלו

joshua 5 6   כי ארבעים שנה הלכו בני ישראל במדבר עד תם כל הגוי אנשי המלחמה היצאים ממצרים אשר לא שמעו בקול יהוה אשר נשבע יהוה להם לבלתי הראותם את הארץ אשר נשבע יהוה ל͏אבותם לתת לנו ארץ זבת חלב ודבש

joshua 5 7   ואת בניהם הקים תחתם אתם מל יהושע כי ערלים היו כי לא מלו אותם בדרך

joshua 5 8   ויהי כאשר תמו כל הגוי להמול וישבו תחתם במחנה עד חיותם

joshua 5 9   ויאמר יהוה אל יהושע היום גלותי את חרפת מצרים מעליכם ויקרא שם המקום ההוא גלגל עד היום הזה

joshua 5 10   ויחנו בני ישראל בגלגל ויעשו את הפסח בארבעה עשר יום לחדש בערב בערבות יריחו

joshua 5 11   ויאכלו מעבור הארץ ממחרת הפסח מצות וקלוי בעצם היום הזה

joshua 5 12   וישבת המן ממחרת באכלם מעבור הארץ ולא היה עוד לבני ישראל מן ויאכלו מתבואת ארץ כנען בשנה ההיא

joshua 5 13   ויהי בהיות יהושע ביריחו וישא עיניו וירא והנה איש עמד לנגדו וחרבו שלופה בידו וילך יהושע אליו ויאמר לו הלנו אתה אם לצרינו

joshua 5 14   ויאמר לא כי אני שר צבא יהוה עתה באתי ויפל יהושע אל פניו ארצה וישתחו ויאמר לו מה אדני מדבר אל עבדו

joshua 5 15   ויאמר שר צבא יהוה אל יהושע של נעלך מעל רגלך כי המקום אשר אתה עמד עליו קדש הוא ויעש יהושע כן

joshua 6 1   ויריחו סגרת ומסגרת מפני בני ישראל אין יוצא ואין בא

joshua 6 2   ויאמר יהוה אל יהושע ראה נתתי בידך את יריחו ואת מלכה גבורי החיל

joshua 6 3   וסבתם את העיר כל אנשי המלחמה הקיף את העיר פעם אחת כה תעשה ששת ימים

joshua 6 4   ושבעה כהנים ישאו שבעה שופרות היובלים לפני הארון וביום השביעי תסבו את העיר שבע פעמים והכהנים יתקעו בשופרות

joshua 6 5   והיה במשך בקרן היובל בשמעכם כשמעכם את קול השופר יריעו כל העם תרועה גדולה ונפלה חומת העיר תחתיה ועלו העם איש נגדו

joshua 6 6   ויקרא יהושע בן נון אל הכהנים ויאמר אלהם שאו את ארון הברית ושבעה כהנים ישאו שבעה שופרות יובלים לפני ארון יהוה

joshua 6 7   ויאמרו ויאמר אל העם עברו וסבו את העיר והחלוץ יעבר לפני ארון יהוה

joshua 6 8   ויהי כאמר יהושע אל העם ושבעה הכהנים נשאים שבעה שופרות היובלים לפני יהוה עברו ותקעו בשופרות ו͏ארון ברית יהוה הלך אחריהם

joshua 6 9   והחלוץ הלך לפני הכהנים תקעו תקעי השופרות והמאסף הלך אחרי הארון הלוך ותקוע בשופרות

joshua 6 10   ואת העם צוה יהושע לאמר לא תריעו ולא תשמיעו את קולכם ולא יצא מפיכם דבר עד יום אמרי אליכם הריעו והריעתם

joshua 6 11   ויסב ארון יהוה את העיר הקף פעם אחת ויבאו המחנה וילינו במחנה

joshua 6 12   וישכם יהושע בבקר וישאו הכהנים את ארון יהוה

joshua 6 13   ושבעה הכהנים נשאים שבעה שופרות היבלים לפני ארון יהוה הלכים הלוך ותקעו בשופרות והחלוץ הלך לפניהם וה͏מאסף הלך א͏חרי ארון יהוה הולך הלוך ותקוע בשופרות

joshua 6 14   ויסבו את העיר ביום השני פעם אחת וישבו המחנה כה עשו ששת ימים

joshua 6 15   ויהי ביום השביעי וישכמו כעלות השחר ויסבו את העיר כמשפט הזה שבע פעמים רק ביום ההוא סבבו את העיר שבע פעמים

joshua 6 16   ויהי בפעם השביעית תקעו הכהנים בשופרות ויאמר יהושע אל העם הריעו כי נתן יהוה לכם את העיר

joshua 6 17   והיתה העיר חרם היא וכל אשר בה ליהוה רק רחב הזונה תחיה היא וכל אשר אתה בבית כי החבאתה את המלאכים אשר שלחנו

joshua 6 18   ורק אתם שמרו מן החרם פן תחרימו ולקחתם מן החרם ושמתם את מחנה ישראל לחרם ועכרתם אותו

joshua 6 19   וכל כסף וזהב וכלי נחשת וברזל קדש הוא ליהוה אוצר יהוה יבוא

joshua 6 20   וירע העם ויתקעו בשפרות ויהי כשמע העם את קול השופר ויריעו העם תרועה גדולה ותפל החומה תחתיה ויעל העם העירה איש נגדו וילכדו את העיר

joshua 6 21   ויחרימו את כל אשר בעיר מאיש ועד אשה מנער ועד זקן ועד שור ושה וחמור לפי חרב

joshua 6 22   ולשנים האנשים המרגלים את הארץ אמר יהושע באו בית האשה הזונה והוציאו משם את האשה ואת כל אשר לה כאשר נשבעתם לה

joshua 6 23   ויבאו הנערים המרגלים ויציאו את רחב ואת אביה ואת אמה ואת אחיה ואת כל אשר לה ואת כל משפחותיה הוציאו ויניחום מחוץ למחנה ישראל

joshua 6 24   והעיר שרפו באש וכל אשר בה רק הכסף והזהב וכלי הנחשת והברזל נתנו אוצר בית יהוה

joshua 6 25   ואת רחב הזונה ואת בית אביה ואת כל אשר לה החיה יהושע ותשב בקרב ישראל עד היום הזה כי החביאה את המלאכים אשר שלח יהושע לרגל את יריחו

joshua 6 26   וישבע יהושע בעת ההיא לאמר ארור האיש לפני יהוה אשר יקום ובנה את העיר הזאת את יריחו בבכרו ייסדנה ובצעירו יציב דלתיה

joshua 6 27   ויהי יהוה את יהושע ויהי שמעו בכל הארץ

joshua 7 1   וימעלו בני ישראל מעל בחרם ויקח עכן בן כרמי בן זבדי בן זרח למטה יהודה מן החרם ויחר אף יהוה בבני ישראל

joshua 7 2   וישלח יהושע אנשים מיריחו העי אשר עם בית און מקדם לבית אל ויאמר אליהם לאמר עלו ורגלו את הארץ ויעלו האנשים וירגלו את העי

joshua 7 3   וישבו אל יהושע ויאמרו אליו אל יעל כל העם כאלפים איש או כשלשת אלפים איש יעלו ויכו את העי אל תיגע שמה את כל העם כי מעט המה

joshua 7 4   ויעלו מן העם שמה כשלשת אלפים איש וינסו לפני אנשי העי

joshua 7 5   ויכו מהם אנשי העי כשלשים וששה איש וירדפום לפני השער עד השברים ויכום במורד וימס לבב העם ויהי למים

joshua 7 6   ויקרע יהושע שמלתיו ויפל על פניו ארצה לפני ארון יהוה עד הערב הוא וזקני ישראל ויעלו עפר על ראשם

joshua 7 7   ויאמר יהושע אהה אדני יהוה למה העברת העביר את העם הזה את הירדן לתת אתנו ביד האמרי להאבידנו ולו הואלנו ונשב בעבר הירדן

joshua 7 8   בי אדני מה אמר אחרי אשר הפך ישראל ערף לפני איביו

joshua 7 9   וישמעו הכנעני וכל ישבי הארץ ונסבו עלינו והכריתו את שמנו מן הארץ ומה תעשה לשמך הגדול

joshua 7 10   ויאמר יהוה אל יהושע קם לך למה זה אתה נפל על פניך

joshua 7 11   חטא ישראל וגם עברו את בריתי אשר צויתי אותם וגם לקחו מן החרם וגם גנבו וגם כחשו וגם שמו בכליהם

joshua 7 12   ולא יכלו בני ישראל לקום לפני איביהם ערף יפנו לפני איביהם כי היו לחרם לא אוסיף להיות עמכם אם לא תשמידו החרם מקרבכם

joshua 7 13   קם קדש את העם ואמרת התקדשו למחר כי כה אמר יהוה אלהי ישראל חרם בקרבך ישראל לא תוכל לקום לפני איביך עד הסירכם החרם מקרבכם

joshua 7 14   ונקרבתם בבקר לשבטיכם והיה השבט אשר ילכדנו יהוה יקרב למשפחות והמשפחה אשר ילכדנה יהוה תקרב לבתים והבית אשר ילכדנו יהוה יקרב לגברים

joshua 7 15   והיה הנלכד בחרם ישרף באש אתו ואת כל אשר לו כי עבר את ברית יהוה וכי עשה נבלה בישראל

joshua 7 16   וישכם יהושע בבקר ויקרב את ישראל לשבטיו וילכד שבט יהודה

joshua 7 17   ויקרב את משפחת יהודה וילכד את משפחת הזרחי ויקרב את משפחת הזרחי לגברים וילכד זבדי

joshua 7 18   ויקרב את ביתו לגברים וילכד עכן בן כרמי בן זבדי בן זרח למטה יהודה

joshua 7 19   ויאמר יהושע אל עכן בני שים נא כבוד ליהוה אלהי ישראל ותן לו תודה והגד נא לי מה עשית אל תכחד ממני

joshua 7 20   ויען עכן את יהושע ויאמר אמנה אנכי חטאתי ליהוה אלהי ישראל וכזאת וכזאת עשיתי

joshua 7 21   ואראה וארא בשלל אדרת שנער אחת טובה ומאתים שקלים כסף ולשון זהב אחד חמשים שקלים משקלו ואחמדם ואקחם והנם טמונים בארץ בתוך הא͏הלי והכסף תחתיה

joshua 7 22   וישלח יהושע מלאכים וירצו האהלה והנה טמונה באהלו והכסף תחתיה

joshua 7 23   ויקחום מתוך האהל ויבאום אל יהושע ואל כל בני ישראל ויצקם לפני יהוה

joshua 7 24   ויקח יהושע את עכן בן זרח ואת הכסף ואת האדרת ואת לשון הזהב ואת בניו ואת בנתיו ואת שורו ואת חמרו ואת צאנו ואת אהלו ואת כל אשר לו וכל ישראל עמו ויעלו אתם עמק עכור

joshua 7 25   ויאמר יהושע מה עכרתנו יעכרך יהוה ביום הזה וירגמו אתו כל ישראל אבן וישרפו אתם באש ויסקלו אתם באבנים

joshua 7 26   ויקימו עליו גל אבנים גדול עד היום הזה וישב יהוה מחרון אפו על כן קרא שם המקום ההוא עמק עכור עד היום הזה

joshua 8 1   ויאמר יהוה אל יהושע אל תירא ואל תחת קח עמך את כל עם המלחמה וקום עלה העי ראה נתתי בידך את מלך העי ואת עמו ואת עירו ואת ארצו

joshua 8 2   ועשית לעי ולמלכה כאשר עשית ליריחו ולמלכה רק שללה ובהמתה תבזו לכם שים לך ארב לעיר מאחריה

joshua 8 3   ויקם יהושע וכל עם המלחמה לעלות העי ויבחר יהושע שלשים אלף איש גבורי החיל וישלחם לילה

joshua 8 4   ויצו אתם לאמר ראו אתם ארבים לעיר מאחרי העיר אל תרחיקו מן העיר מאד והייתם כלכם נכנים

joshua 8 5   ואני וכל העם אשר אתי נקרב אל העיר והיה כי יצאו לקראתנו כאשר בראשנה ונסנו לפניהם

joshua 8 6   ויצאו אחרינו עד התיקנו אותם מן העיר כי יאמרו נסים לפנינו כאשר בראשנה ונסנו לפניהם

joshua 8 7   ואתם תקמו מהאורב והורשתם את העיר ונתנה יהוה אלהיכם בידכם

joshua 8 8   והיה כתפשכם את העיר תציתו את העיר באש כדבר יהוה תעשו ראו צויתי אתכם

joshua 8 9   וישלחם יהושע וילכו אל המארב וישבו בין בית אל ובין העי מים לעי וילן יהושע בלילה ההוא בתוך העם

joshua 8 10   וישכם יהושע בבקר ויפקד את העם ויעל הוא וזקני ישראל לפני העם העי

joshua 8 11   וכל העם המלחמה אשר אתו עלו ויגשו ויבאו נגד העיר ויחנו מצפון לעי והגי בינו ביניו ובין העי

joshua 8 12   ויקח כחמשת אלפים איש וישם אותם ארב בין בית אל ובין העי מים לעיר

joshua 8 13   וישימו העם את כל המחנה אשר מצפון לעיר ואת עקבו מים לעיר וילך יהושע בלילה ההוא בתוך העמק

joshua 8 14   ויהי כראות מלך העי וימהרו וישכימו ויצאו אנשי העיר לקראת ישראל למלחמה הוא וכל עמו למועד לפני הערבה והוא לא ידע כי ארב לו מאחרי העיר

joshua 8 15   וינגעו יהושע וכל ישראל לפניהם וינסו דרך המדבר

joshua 8 16   ויזעקו כל העם אשר בעיר בעי לרדף אחריהם וירדפו אחרי יהושע וינתקו מן העיר

joshua 8 17   ולא נשאר איש בעי ובית אל אשר לא יצאו אחרי ישראל ויעזבו את העיר פתוחה וירדפו אחרי ישראל

joshua 8 18   ויאמר יהוה אל יהושע נטה בכידון אשר בידך אל העי כי בידך אתננה ויט יהושע בכידון אשר בידו אל העיר

joshua 8 19   והאורב קם מהרה ממקומו וירוצו כנטות ידו ויבאו העיר וילכדוה וימהרו ויציתו את העיר באש

joshua 8 20   ויפנו אנשי העי אחריהם ויראו והנה עלה עשן העיר השמימה ולא היה בהם ידים לנוס הנה והנה והעם הנס המדבר נהפך אל הרודף

joshua 8 21   ויהושע וכל ישראל ראו כי לכד הארב את העיר וכי עלה עשן העיר וישבו ויכו את אנשי העי

joshua 8 22   ואלה יצאו מן העיר לקראתם ויהיו לישראל בתוך אלה מזה ואלה מזה ויכו אותם עד בלתי השאיר לו שריד ופליט

joshua 8 23   ואת מלך העי תפשו חי ויקרבו אתו אל יהושע

joshua 8 24   ויהי ככלות ישראל להרג את כל ישבי העי בשדה במדבר אשר רדפום בו ויפלו כלם לפי חרב עד תמם וישבו כל ישראל העי ויכו אתה לפי חרב

joshua 8 25   ויהי כל הנפלים ביום ההוא מאיש ועד אשה שנים עשר אלף כל אנשי העי

joshua 8 26   ויהושע לא השיב ידו אשר נטה בכידון עד אשר החרים את כל ישבי העי

joshua 8 27   רק הבהמה ושלל העיר ההיא בזזו להם ישראל כדבר יהוה אשר צוה את יהושע

joshua 8 28   וישרף יהושע את העי וישימה תל עולם שממה עד היום הזה

joshua 8 29   ואת מלך העי תלה על העץ עד עת הערב וכבוא השמש צוה יהושע וירידו את נבלתו מן העץ וישליכו אותה אל פתח שער העיר ויקימו עליו גל אבנים גדול עד היום הזה

joshua 8 30   אז יבנה יהושע מזבח ליהוה אלהי ישראל בהר עיבל

joshua 8 31   כאשר צוה משה עבד יהוה את בני ישראל ככתוב בספר תורת משה מזבח אבנים שלמות אשר לא הניף עליהן ברזל ויעלו עליו עלות ליהוה ויזבחו שלמים

joshua 8 32   ויכתב שם על האבנים את משנה תורת משה אשר כתב לפני בני ישראל

joshua 8 33   וכל ישראל וזקניו ושטרים ושפטיו עמדים מזה ומזה לארון נגד הכהנים הלוים נשאי ארון ברית יהוה כגר כאזרח חציו אל מול הר גרזים והחציו אל מול הר עיבל כאשר צוה משה עבד יהוה לברך את העם ישראל בראשנה

joshua 8 34   וא͏חרי כן קרא את כל דברי התורה הברכה והקללה ככל הכתוב בספר התורה

joshua 8 35   לא היה דבר מכל אשר צוה משה אשר לא קרא יהושע נגד כל קהל ישראל והנשים והטף והגר ההלך בקרבם

joshua 9 1   ויהי כשמע כל המלכים אשר בעבר הירדן בהר ובשפלה ובכל חוף הים הגדול אל מול הלבנון החתי והאמרי הכנעני הפרזי החוי והיבוסי

joshua 9 2   ויתקבצו יחדו להלחם עם יהושע ועם ישראל פה אחד

joshua 9 3   וישבי גבעון שמעו את אשר עשה יהושע ליריחו ולעי

joshua 9 4   ויעשו גם המה בערמה וילכו ויצטירו ויקחו שקים בלים לחמוריהם ונאדות יין בלים ומבקעים ומצררים

joshua 9 5   ונעלות בלות ומטלאות ברגליהם ושלמות בלות עליהם וכל לחם צידם יבש היה נקדים

joshua 9 6   וילכו אל יהושע אל המחנה הגלגל ויאמרו אליו ואל איש ישראל מארץ רחוקה באנו ועתה כרתו לנו ברית

joshua 9 7   ויאמרו ויאמר איש ישראל אל החוי אולי בקרבי אתה יושב ואיך אכרות אכרת לך ברית

joshua 9 8   ויאמרו אל יהושע עבדיך אנחנו ויאמר אלהם יהושע מי אתם ומאין תבאו

joshua 9 9   ויאמרו אליו מארץ רחוקה מאד באו עבדיך לשם יהוה אלהיך כי שמענו שמעו ואת כל אשר עשה במצרים

joshua 9 10   ואת כל אשר עשה לשני מלכי האמרי אשר בעבר הירדן לסיחון מלך חשבון ולעוג מלך הבשן אשר בעשתרות

joshua 9 11   ויאמרו אלינו זקינינו וכל ישבי ארצנו לאמר קחו בידכם צידה לדרך ולכו לקראתם ואמרתם אליהם עבדיכם אנחנו ועתה כרתו לנו ברית

joshua 9 12   זה לחמנו חם הצטידנו אתו מבתינו ביום צאתנו ללכת אליכם ועתה הנה יבש והיה נקדים

